work-id,celex
013f1313-30fc-4b50-a0da-b313ba166494,32011M6366
01403b27-ac38-11e4-b5b2-01aa75ed71a1,32015R0165
014455bb-2397-48bc-8e07-f68e1858dfaa,31989D0262
0145abf9-15d5-11e7-808e-01aa75ed71a1,32017R0575
014853a2-4c93-44ee-8245-0a5d67214432,32011L0085
0148858b-6173-11e3-ab0f-01aa75ed71a1,32013L0056
0148a5bd-c315-44c0-8de8-6799ab83f85d,31999Y1012(01)
01491f7f-faf7-11ef-b7db-01aa75ed71a1,32024R2414R(02)
014ab5cb-a0de-11ec-83e1-01aa75ed71a1,32022R0408
014c8d82-d1c6-11e2-9b1a-01aa75ed71a1,32013L0022
014cf019-1c54-11e8-ac73-01aa75ed71a1,32013L0055R(05)
014e1519-b31d-11eb-8aca-01aa75ed71a1,32021D0781
014f60cf-2431-11ed-8fa0-01aa75ed71a1,32006R0865R(04)
014fc356-40b9-11e5-9f5a-01aa75ed71a1,32015H1381
01509a0f-37b1-11ea-ba6e-01aa75ed71a1,32018R2067R(03)
01521766-5f79-11ea-b735-01aa75ed71a1,32020R0371
0152e66a-4b52-4e16-95c3-563c159399bd,32015M7469
0154e122-d8fe-11e4-9de8-01aa75ed71a1,32015D0547
015599a0-377f-11e6-a825-01aa75ed71a1,32016D0992
0155a829-fd87-45fc-b315-61c9e8853d63,32010D0137R(01)
015749f2-52c9-11e5-9f5a-01aa75ed71a1,32015R1489
0158b08b-8d0e-11eb-b85c-01aa75ed71a1,32019L1937R(02)
0159d79f-ee8d-4e80-b807-baed8b4efa00,31968R0260
015c6a7d-6c22-4cba-85ef-d6f31051f313,32010D0034
01613305-00b1-11ea-8c1f-01aa75ed71a1,32019D1765
016187c6-75d4-11ef-bbbe-01aa75ed71a1,32023M11160
0164ca56-c543-11e3-9fe4-01aa75ed71a1,32013R0811R(01)
0165ea8e-51df-11e3-8945-01aa75ed71a1,32013R1172
0166e052-9ddb-11eb-b85c-01aa75ed71a1,32021R0608
0168f96c-a568-11ea-bb7a-01aa75ed71a1,32020R0687
016a0dff-2ab6-11e5-9f85-01aa75ed71a1,32015R1150
016af2d0-3cc3-11ef-ab8f-01aa75ed71a1,32024R1877
016bab46-188f-464e-8b67-2f63262f7ade,31999R0083
016c3d19-48b5-11e6-9c64-01aa75ed71a1,32007R0722R(03)
016d3a4e-eac2-11e7-9749-01aa75ed71a1,32017R2394
016eb117-adc8-11ee-b164-01aa75ed71a1,32024D0198
01708409-532d-4e55-9f88-cb277630453f,31997R1065
0171876d-fefe-4973-b812-97e961fe1e1d,32004D0407R(03)
0171dae4-8f05-11ec-8c40-01aa75ed71a1,32022M10617
017227b2-a0a3-11e5-b4a2-01aa75ed71a1,32015D0041(01)
01729510-43fb-11ea-b81b-01aa75ed71a1,32019L0990R(02)
0173194d-3270-42e9-87c9-58585265a90d,31994D1000
0173dcbe-8fd3-47a3-b635-7fbc3f639235,31985D0506
0174251f-25f8-11ee-a2d3-01aa75ed71a1,32023R1484
01751ae0-34e6-4a77-9f9a-212c4bb5a874,31999D0586
01760c1a-32bd-11e6-b497-01aa75ed71a1,32015D1156R(01)
0176a2f5-6e94-11ec-9136-01aa75ed71a1,32020R0639R(03)
0176c422-8239-11ec-8c40-01aa75ed71a1,32022R0001R(01)
0178f8f2-e134-4805-86b2-a93c72920608,31999R0705
017ffcbd-a920-11e4-8e01-01aa75ed71a1,32008L0072R(02)
01813ef6-4eb2-11e4-a0cb-01aa75ed71a1,32011R0181R(01)
0181868c-c10d-11e6-a6db-01aa75ed71a1,32016D2238
01822d6b-2709-11ec-bd8e-01aa75ed71a1,32016L0802R(01)
0182532f-93be-11ec-b4e4-01aa75ed71a1,32021M9969
01827354-2709-11ef-a195-01aa75ed71a1,32023M11128
01835583-28fb-11ed-8fa0-01aa75ed71a1,32007L0066R(02)
0183b926-001f-11ee-a05c-01aa75ed71a1,32023R1058
01844430-ae3f-11eb-9767-01aa75ed71a1,32021D0689R(01)
0186fc0e-dff2-11e3-8cd4-01aa75ed71a1,32014L0070
018aa6d4-c296-4d13-ad57-71ec4d757191,32005R0718R(01)
018ac204-c62e-4dc6-8c81-efbec83b9075,32003R0006
018d78b3-e34e-48ae-aa68-c931b6a5fc9f,31971D0224
01901a6f-149f-11ed-8fa0-01aa75ed71a1,32022M10777
0191b399-4fff-11e7-a5ca-01aa75ed71a1,32017R0988
0191e38d-8e9a-11ee-8aa6-01aa75ed71a1,32023M11329
01946058-e6f0-4cfb-a9b4-575c773d2cbe,31993D0255
01952f16-16b8-418d-a4fb-5b2c5d6b9485,31997D0325
0196ce7b-31da-11e5-9f85-01aa75ed71a1,32015M7653
019887de-42db-448d-89c7-23b262a31c1e,32011D0234
0199e510-3b5f-11f0-8a44-01aa75ed71a1,32025D1095
019b0efa-cab3-44de-8810-5e0907b0fd42,31985D0609
019ba6ba-e8a9-4af8-98d8-2ee7127de080,32004D0631
019f883f-3416-4283-8a72-301a568d9afa,32007D0402
01a13d7a-2f4e-4b0f-ae44-85f2779a72ad,32007R0902
01a19980-dc32-4926-abc8-a7a1286496ed,31998D0523
01a1ace1-12b5-4cef-b3e9-2cf7ec9eed7a,32004D0421
01a32252-4d67-11ea-aece-01aa75ed71a1,32020D0188
01a3608e-39a7-4a13-a97d-c615650aca99,32004R1488
01a48626-e45c-4207-aa99-2a415ca0c5d5,31975Y0709(06)
01a4917a-4af8-4e6b-87cd-884462658844,31998M1134
01a4aa87-8a3c-459f-9f51-48c572ed4321,31992R3587R(01)
01a4bb84-48dc-11eb-b59f-01aa75ed71a1,32020R2211
01a66c4d-8119-11e9-9f05-01aa75ed71a1,32019D0871
01a697e8-fd0d-11ec-b94a-01aa75ed71a1,32022M10748
01a6a069-0f57-11ea-8c1f-01aa75ed71a1,32019D1930R(01)
01a6cde2-f4dc-11e6-8a35-01aa75ed71a1,32013R0610R(04)
01a78d50-f7b0-4080-a985-91ef5c465cc2,31992D0612
01a94243-6650-11ed-b14f-01aa75ed71a1,32022D2256
01a9fdd2-7852-4a51-897d-fcf690196d45,32011D0352
01ab4063-4e58-45c9-89f9-234439a3cffc,31997Y1004(04)
01ad1bef-bb09-4fd4-83e7-5cfeae577db9,32004R0595R(02)
01b2d2d8-4d75-443c-acb6-e87dc49bcd71,32004R0595R(05)
01b4343a-327f-4f36-9c92-25aa48fd628b,31996R1356
01b5776d-8910-11e5-b8b7-01aa75ed71a1,32015R2015
01b695ba-97d3-11ed-b508-01aa75ed71a1,32021R2168R(01)
01b7b05c-7ad6-11ef-bbbe-01aa75ed71a1,32020D0290R(01)
01b7b89a-3420-11ef-b441-01aa75ed71a1,32024R1768
01b84447-2949-11f0-8a44-01aa75ed71a1,32025R0167R(01)
01b967b8-4d45-4c1b-9aa4-b9751e4d5c86,32015M7717
01b9ab63-5fa1-11ea-b735-01aa75ed71a1,32020M9647
01b9f87d-7a85-11e2-9294-01aa75ed71a1,32013R0136
01bdf236-dafa-11e1-905c-01aa75ed71a1,32012R0696
01be1528-483e-11ed-92ed-01aa75ed71a1,32022D1918
01bef4ae-cf5c-11e4-9a66-01aa75ed71a1,32015D0484
01bf4eb4-9ddd-11eb-b85c-01aa75ed71a1,32019L0878R(04)
01bf8d16-e495-11e7-9749-01aa75ed71a1,32017D2375
01bfd9e2-3e78-11eb-b27b-01aa75ed71a1,32020D2053
01bfeffd-c332-4b71-9ff2-f8a7b262a6b9,32009R0984
01c03476-e21c-4da9-9578-b0e1ac6f2a65,32011R0749
01c0767f-6b3a-456d-9421-38beb50bee38,32004R1687
01c395a4-b9f1-4aa9-905e-356d2045360b,32005D0137
01c443d3-7216-11ed-9887-01aa75ed71a1,32022D2359
01c4f171-6e49-11e5-9317-01aa75ed71a1,32015D1814
01c55b2a-f83c-11ec-b94a-01aa75ed71a1,32022R1036
01c57ff1-16f0-11e4-933d-01aa75ed71a1,32014H0729(20)
01c5f9e0-8d9b-44cd-90c1-9ec6a81a5d10,32010D0704
01c602a2-1e22-11ef-a251-01aa75ed71a1,32024R1045R(01)
01c6fab6-6f8f-11e2-9294-01aa75ed71a1,32012R0927R(01)
01c71d10-4291-11ec-89db-01aa75ed71a1,32021D1956
01c71d11-4291-11ec-89db-01aa75ed71a1,32021D1111(01)
01c76cfd-f575-11ef-b7db-01aa75ed71a1,32025R0428
01c90df7-13b2-11e8-9253-01aa75ed71a1,32017L1371R(02)
01cb4591-1dbd-44a3-a826-c9f2da14e43f,31997D0022
01cb6b45-6360-11ea-b735-01aa75ed71a1,32020R0390
