work-id,celex-expr-id,celex-man-id,celex-cs-id,suffix,mtd
f3742ceb-bd83-11e4-bbe1-01aa75ed71a1,ENG,xhtml,L_2015055EN.01000201.doc.html,html,tree_non_inferred.rdf
12c401d0-bdaa-11ef-91ed-01aa75ed71a1,ENG,xhtml,L_202403144EN.html,html,tree_non_inferred.rdf
1ae9e351-eb06-11ed-a05c-01aa75ed71a1,ENG,xhtml,L_2023122EN.01000101.doc.html,html,tree_non_inferred.rdf
e6b0d86f-3e2c-11e4-8c3c-01aa75ed71a1,ENG,xhtml,L_2014275EN.01000701.doc.html,html,tree_non_inferred.rdf
33230725-852a-4177-86cb-c384e52897fe,ENG,html,31991M0156en.html,html,tree_non_inferred.rdf
0a5a93be-6330-40ca-9ce7-826faee31194,ENG,html,31993D0355en.html,html,tree_non_inferred.rdf
06436cae-5867-4271-8b3e-03378c02a0b0,ENG,xhtml,L_2007172EN.01007101.doc.html,html,tree_non_inferred.rdf
ff3228cd-b274-4155-a01c-8274a8e5fdbc,ENG,xhtml,L_2008034EN.01000301.doc.html,html,tree_non_inferred.rdf
c0696815-8046-11e9-9f05-01aa75ed71a1,ENG,xhtml,L_2019139EN.01001301.doc.html,html,tree_non_inferred.rdf
e31cd5e7-14e7-11ea-8c1f-01aa75ed71a1,ENG,xhtml,L_2019310EN.01005601.doc.html,html,tree_non_inferred.rdf
c34d75a5-470d-4387-b4a2-98c7c09ac424,ENG,xhtml,L_2007186EN.01003201.doc.html,html,tree_non_inferred.rdf
00eb1512-dd12-11ee-b9d9-01aa75ed71a1,ENG,xhtml,L_202400789EN.html,html,tree_non_inferred.rdf
cd7e806e-7bec-11eb-9ac9-01aa75ed71a1,ENG,xhtml,L_2021073EN.01001601.doc.html,html,tree_non_inferred.rdf
83ff0e26-a3a6-11e9-9d01-01aa75ed71a1,ENG,xhtml,L_2019185EN.01004801.doc.html,html,tree_non_inferred.rdf
8995deec-89c8-446f-b2c8-ba04f9176c4e,ENG,html,31995D0437en.html,html,tree_non_inferred.rdf
58ee3858-7b56-4a35-a52a-b533b563ccd3,ENG,xhtml,L_2007059EN.01008401.doc.html,html,tree_non_inferred.rdf
41f5fb1d-a8e5-11ed-b508-01aa75ed71a1,ENG,xhtml,L_2023041EN.01007701.doc.html,html,tree_non_inferred.rdf
b9bc9115-9f20-4bc9-89fa-9614993fe95d,ENG,html,31981D0258en.html,html,tree_non_inferred.rdf
3dae3965-994d-49cf-b7b2-3a61a6112644,ENG,xhtml,ENG_m8204.html,html,tree_non_inferred.rdf
0b31fc2f-5107-11ee-9220-01aa75ed71a1,ENG,xhtml,L_2023224EN.01001601.doc.html,html,tree_non_inferred.rdf
9fd6f2d9-432f-11eb-b27b-01aa75ed71a1,ENG,xhtml,L_2020431EN.01003201.doc.html,html,tree_non_inferred.rdf
81d94003-9520-11e7-b92d-01aa75ed71a1,ENG,xhtml,L_2017233EN.01000601.doc.html,html,tree_non_inferred.rdf
66e50f4b-0d50-417a-9f68-e693be55e74a,ENG,xhtml,L_2007179EN.01004601.doc.html,html,tree_non_inferred.rdf
753120ea-7c4c-11e4-97c9-01aa75ed71a1,ENG,xhtml,L_2014349EN.01002901.doc.html,html,tree_non_inferred.rdf
5fb74416-cc5a-48c9-b7ae-d46b515919d9,ENG,html,32011M6423en.html,html,tree_non_inferred.rdf
21c2461f-1b03-11e5-a342-01aa75ed71a1,ENG,xhtml,L_2015159EN.01006101.doc.html,html,tree_non_inferred.rdf
d5d245b9-c1b2-4171-9ee9-43d435b1c3e8,ENG,html,31975Y0820_02_en.html,html,tree_non_inferred.rdf
b9460f77-0985-11ed-b11c-01aa75ed71a1,ENG,xhtml,L_2022195EN.01009301.doc.html,html,tree_non_inferred.rdf
29dc8e61-618b-4698-835a-b819b99c10b3,ENG,html,31996D0655en.html,html,tree_non_inferred.rdf
27cd8a86-dd1d-11e5-8fea-01aa75ed71a1,ENG,xhtml,L_2016052EN.01000901.doc.html,html,tree_non_inferred.rdf
30066b7b-3052-11ea-af81-01aa75ed71a1,ENG,xhtml,L_2020002EN.01001101.doc.html,html,tree_non_inferred.rdf
0816cfc8-9107-11e6-b237-01aa75ed71a1,ENG,xhtml,L_2016276EN.01000401.doc.html,html,tree_non_inferred.rdf
60bd75da-6853-426c-9f21-e882a3bb121a,ENG,html,31989D0565en.html,html,tree_non_inferred.rdf
ea357a12-141b-47d5-9a76-cc5996739839,ENG,html,31992M0117en.html,html,tree_non_inferred.rdf
e0a63aa5-8fde-11e5-983e-01aa75ed71a1,ENG,xhtml,L_2015305EN.01000101.doc.html,html,tree_non_inferred.rdf
1b2fc788-8047-11e9-9f05-01aa75ed71a1,ENG,xhtml,LI2019139EN.01008901.doc.html,html,tree_non_inferred.rdf
fc50c582-7d0e-11ee-99ba-01aa75ed71a1,ENG,xhtml,L_202302449EN.html,html,tree_non_inferred.rdf
3c180456-e1f7-4c61-ac24-9c019baf68b1,ENG,html,31974D0215en.html,html,tree_non_inferred.rdf
81bcc25c-48c4-4992-967e-1aed289f87ec,ENG,xhtml,L_2004212EN.01003401.doc.html,html,tree_non_inferred.rdf
cf3d128b-6d7e-48b9-a240-27a752e06bbc,ENG,html,32000M1869en.html,html,tree_non_inferred.rdf
a7a2bc84-d383-11ed-a05c-01aa75ed71a1,ENG,xhtml,L_2023096EN.01008501.doc.html,html,tree_non_inferred.rdf
dfbc5e4f-f384-11ed-a05c-01aa75ed71a1,ENG,xhtml,L_2023131EN.01001701.doc.html,html,tree_non_inferred.rdf
f35da136-e22e-4b18-837a-deef68a0bcf7,ENG,html,31982D0512en.html,html,tree_non_inferred.rdf
55eb5fee-edaf-11ea-991b-01aa75ed71a1,ENG,xhtml,L_2020288EN.01000101.doc.html,html,tree_non_inferred.rdf
a6e65177-eda6-43c4-b3fb-c1051ddf676b,ENG,xhtml,L_2005311EN.01002201.doc.html,html,tree_non_inferred.rdf
3d328511-efec-11e6-8a35-01aa75ed71a1,ENG,xhtml,L_2017036EN.01004701.doc.html,html,tree_non_inferred.rdf
ff4493d6-965c-469a-a398-8b28939a6883,ENG,xhtml,L_2009101EN.01001601.doc.html,html,tree_non_inferred.rdf
42548f14-81cd-11ed-9887-01aa75ed71a1,ENG,xhtml,L_2022328EN.01007001.doc.html,html,tree_non_inferred.rdf
03a6b324-6427-11ea-b735-01aa75ed71a1,ENG,xhtml,L_2020076EN.01000401.doc.html,html,tree_non_inferred.rdf
9a3102f9-92f6-11e3-bf99-01aa75ed71a1,ENG,xhtml,L_2014040EN.01001601.doc.html,html,tree_non_inferred.rdf
42e13643-5362-11ee-9220-01aa75ed71a1,ENG,xhtml,L_2023228EN.01007301.doc.html,html,tree_non_inferred.rdf
9d014a89-f0c5-459c-bc1e-66a3ddfb2992,ENG,html,32014M7245en.html,html,tree_non_inferred.rdf
bb7f4e80-b4d0-4141-bc9b-f21a2613e09b,ENG,html,32004M3264en.html,html,tree_non_inferred.rdf
15dff02d-08ce-11e4-a7d0-01aa75ed71a1,ENG,xhtml,L_2014203EN.01010601.doc.html,html,tree_non_inferred.rdf
